  Panel         Gamma
     0         2.844707867
     1         2.812573198
     2         2.302545247
     3         1.534985476
     4         0.696282715
     5         2.226189926
     6         2.201042221
     7         1.801908411
     8         1.201237302
     9         0.544891651
    10         1.879879802
    11         1.858644119
    12         1.521600285
    13         1.014370658
    14         0.460127322
    15         1.677441367
    16         1.658492489
    17         1.357743862
    18         0.905136223
    19         0.410577636
    20         1.335756419
    21         1.320667316
    22         1.081179417
    23         0.720765294
    24         0.326945384
