Point   x           r                   p                   
0     -0.715252463  1.016386364  5.624489524
0     -2.972201970  1.016386364  5.624489524
0     -5.229151478  1.016386364  5.624489524
0     -7.486100985  1.016386364  5.624489524
0     -9.743050493  1.016386364  5.624489524
0    -12.000000000  1.016386364  5.624489524
1     -0.624484942  1.679931818  5.927961784
1     -2.899587954  1.679931818  5.927961784
1     -5.174690965  1.679931818  5.927961784
1     -7.449793977  1.679931818  5.927961784
1     -9.724896988  1.679931818  5.927961784
1    -12.000000000  1.679931818  5.927961784
2     -0.551623412  2.343477273  6.138591284
2     -2.841298730  2.343477273  6.138591284
2     -5.130974047  2.343477273  6.138591284
2     -7.420649365  2.343477273  6.138591284
2     -9.710324682  2.343477273  6.138591284
2    -12.000000000  2.343477273  6.138591284
3     -0.479678643  3.007022727  6.238671924
3     -2.783742915  3.007022727  6.238671924
3     -5.087807186  3.007022727  6.238671924
3     -7.391871457  3.007022727  6.238671924
3     -9.695935729  3.007022727  6.238671924
3    -12.000000000  3.007022727  6.238671924
4     -0.387002647  3.670568182  6.328753214
4     -2.709602118  3.670568182  6.328753214
4     -5.032201588  3.670568182  6.328753214
4     -7.354801059  3.670568182  6.328753214
4     -9.677400529  3.670568182  6.328753214
4    -12.000000000  3.670568182  6.328753214
5     -0.181892831  4.334113636  6.426541253
5     -2.545514265  4.334113636  6.426541253
5     -4.909135698  4.334113636  6.426541253
5     -7.272757132  4.334113636  6.426541253
5     -9.636378566  4.334113636  6.426541253
5    -12.000000000  4.334113636  6.426541253
