Point   x           r                   p                   
0     -0.619357080  1.016386364  4.457105551
0     -2.895485664  1.016386364  4.457105551
0     -5.171614248  1.016386364  4.457105551
0     -7.447742832  1.016386364  4.457105551
0     -9.723871416  1.016386364  4.457105551
0    -12.000000000  1.016386364  4.457105551
1     -0.543417142  1.679931818  4.971585477
1     -2.834733713  1.679931818  4.971585477
1     -5.126050285  1.679931818  4.971585477
1     -7.417366857  1.679931818  4.971585477
1     -9.708683428  1.679931818  4.971585477
1    -12.000000000  1.679931818  4.971585477
2     -0.506398234  2.343477273  5.559850890
2     -2.805118587  2.343477273  5.559850890
2     -5.103838940  2.343477273  5.559850890
2     -7.402559293  2.343477273  5.559850890
2     -9.701279647  2.343477273  5.559850890
2    -12.000000000  2.343477273  5.559850890
3     -0.447891575  3.007022727  5.784978537
3     -2.758313260  3.007022727  5.784978537
3     -5.068734945  3.007022727  5.784978537
3     -7.379156630  3.007022727  5.784978537
3     -9.689578315  3.007022727  5.784978537
3    -12.000000000  3.007022727  5.784978537
4     -0.359558970  3.670568182  5.849906250
4     -2.687647176  3.670568182  5.849906250
4     -5.015735382  3.670568182  5.849906250
4     -7.343823588  3.670568182  5.849906250
4     -9.671911794  3.670568182  5.849906250
4    -12.000000000  3.670568182  5.849906250
5     -0.173210626  4.334113636  6.103967591
5     -2.538568501  4.334113636  6.103967591
5     -4.903926376  4.334113636  6.103967591
5     -7.269284250  4.334113636  6.103967591
5     -9.634642125  4.334113636  6.103967591
5    -12.000000000  4.334113636  6.103967591
