#     S_Distr        Radius
  0.850500000   0.850500000
  0.857810000   0.857810000
  0.865130000   0.865130000
  0.872440000   0.872440000
  0.879750000   0.879750000
  0.887070000   0.887070000
  0.894380000   0.894380000
  0.901700000   0.901700000
  0.909010000   0.909010000
  0.916320000   0.916320000
  0.923640000   0.923640000
  0.930950000   0.930950000
  0.938260000   0.938260000
  0.945580000   0.945580000
  0.952890000   0.952890000
  0.960200000   0.960200000
  0.967520000   0.967520000
  0.974830000   0.974830000
  0.982150000   0.982150000
  0.989460000   0.989460000
  0.996770000   0.996770000
  1.004090000   1.004090000
  1.011400000   1.011400000
  1.018710000   1.018710000
  1.026030000   1.026030000
  1.033340000   1.033340000
  1.040650000   1.040650000
  1.047970000   1.047970000
  1.055280000   1.055280000
  1.062600000   1.062600000
  1.069910000   1.069910000
  1.077220000   1.077220000
  1.084540000   1.084540000
  1.091850000   1.091850000
  1.099160000   1.099160000
  1.106480000   1.106480000
  1.113790000   1.113790000
  1.121100000   1.121100000
  1.128420000   1.128420000
  1.135730000   1.135730000
  1.143050000   1.143050000
  1.150360000   1.150360000
  1.157670000   1.157670000
  1.164990000   1.164990000
  1.172300000   1.172300000
  1.179610000   1.179610000
  1.186930000   1.186930000
  1.194240000   1.194240000
  1.201550000   1.201550000
  1.208870000   1.208870000
  1.216180000   1.216180000
  1.223490000   1.223490000
  1.230810000   1.230810000
  1.238120000   1.238120000
  1.245440000   1.245440000
  1.252750000   1.252750000
  1.260060000   1.260060000
  1.267380000   1.267380000
  1.274690000   1.274690000
  1.282000000   1.282000000
  1.289320000   1.289320000
  1.296630000   1.296630000
  1.303940000   1.303940000
  1.311260000   1.311260000
  1.318570000   1.318570000
  1.325890000   1.325890000
  1.333200000   1.333200000
  1.340510000   1.340510000
  1.347830000   1.347830000
  1.355140000   1.355140000
  1.362450000   1.362450000
  1.369770000   1.369770000
  1.377080000   1.377080000
  1.384390000   1.384390000
  1.391710000   1.391710000
  1.399020000   1.399020000
  1.406340000   1.406340000
  1.413650000   1.413650000
  1.420960000   1.420960000
  1.428280000   1.428280000
  1.435590000   1.435590000
  1.442900000   1.442900000
  1.450220000   1.450220000
  1.457530000   1.457530000
  1.464840000   1.464840000
  1.472160000   1.472160000
  1.479470000   1.479470000
  1.486790000   1.486790000
  1.494100000   1.494100000
  1.501410000   1.501410000
  1.508730000   1.508730000
  1.516040000   1.516040000
  1.523350000   1.523350000
  1.530670000   1.530670000
  1.537980000   1.537980000
  1.545290000   1.545290000
  1.552610000   1.552610000
  1.559920000   1.559920000
  1.567240000   1.567240000
  1.574550000   1.574550000
  1.581860000   1.581860000
  1.589180000   1.589180000
  1.596490000   1.596490000
  1.603800000   1.603800000
  1.611120000   1.611120000
  1.618430000   1.618430000
  1.625740000   1.625740000
  1.633060000   1.633060000
  1.640370000   1.640370000
  1.647690000   1.647690000
  1.655000000   1.655000000
  1.662310000   1.662310000
  1.669630000   1.669630000
  1.676940000   1.676940000
  1.684250000   1.684250000
  1.691570000   1.691570000
  1.698880000   1.698880000
  1.706190000   1.706190000
  1.713510000   1.713510000
  1.720820000   1.720820000
  1.728140000   1.728140000
  1.735450000   1.735450000
  1.742760000   1.742760000
  1.750080000   1.750080000
  1.757390000   1.757390000
  1.764700000   1.764700000
  1.772020000   1.772020000
  1.779330000   1.779330000
  1.786640000   1.786640000
  1.793960000   1.793960000
  1.801270000   1.801270000
  1.808590000   1.808590000
  1.815900000   1.815900000
  1.823210000   1.823210000
  1.830530000   1.830530000
  1.837840000   1.837840000
  1.845150000   1.845150000
  1.852470000   1.852470000
  1.859780000   1.859780000
  1.867090000   1.867090000
  1.874410000   1.874410000
  1.881720000   1.881720000
  1.889040000   1.889040000
  1.896350000   1.896350000
  1.903660000   1.903660000
  1.910980000   1.910980000
  1.918290000   1.918290000
  1.925600000   1.925600000
  1.932920000   1.932920000
  1.940230000   1.940230000
  1.947540000   1.947540000
  1.954860000   1.954860000
  1.962170000   1.962170000
  1.969480000   1.969480000
  1.976800000   1.976800000
  1.984110000   1.984110000
  1.991430000   1.991430000
  1.998740000   1.998740000
  2.006050000   2.006050000
  2.013370000   2.013370000
  2.020680000   2.020680000
  2.027990000   2.027990000
  2.035310000   2.035310000
  2.042620000   2.042620000
  2.049930000   2.049930000
  2.057250000   2.057250000
  2.064560000   2.064560000
  2.071880000   2.071880000
  2.079190000   2.079190000
  2.086500000   2.086500000
  2.093820000   2.093820000
  2.101130000   2.101130000
  2.108440000   2.108440000
  2.115760000   2.115760000
  2.123070000   2.123070000
  2.130380000   2.130380000
  2.137700000   2.137700000
  2.145010000   2.145010000
  2.152330000   2.152330000
  2.159640000   2.159640000
  2.166950000   2.166950000
  2.174270000   2.174270000
  2.181580000   2.181580000
  2.188890000   2.188890000
  2.196210000   2.196210000
  2.203520000   2.203520000
  2.210830000   2.210830000
  2.218150000   2.218150000
  2.225460000   2.225460000
  2.232780000   2.232780000
  2.240090000   2.240090000
  2.247400000   2.247400000
  2.254720000   2.254720000
  2.262030000   2.262030000
  2.269340000   2.269340000
  2.276660000   2.276660000
  2.283970000   2.283970000
  2.291280000   2.291280000
  2.298600000   2.298600000
  2.305910000   2.305910000
  2.313230000   2.313230000
  2.320540000   2.320540000
  2.327850000   2.327850000
  2.335170000   2.335170000
  2.342480000   2.342480000
  2.349790000   2.349790000
  2.357110000   2.357110000
  2.364420000   2.364420000
  2.371730000   2.371730000
  2.379050000   2.379050000
  2.386360000   2.386360000
  2.393680000   2.393680000
  2.400990000   2.400990000
  2.408300000   2.408300000
  2.415620000   2.415620000
  2.422930000   2.422930000
  2.430240000   2.430240000
  2.437560000   2.437560000
  2.444870000   2.444870000
  2.452180000   2.452180000
  2.459500000   2.459500000
  2.466810000   2.466810000
  2.474130000   2.474130000
  2.481440000   2.481440000
  2.488750000   2.488750000
  2.496070000   2.496070000
  2.503380000   2.503380000
  2.510690000   2.510690000
  2.518010000   2.518010000
  2.525320000   2.525320000
  2.532630000   2.532630000
  2.539950000   2.539950000
  2.547260000   2.547260000
  2.554580000   2.554580000
  2.561890000   2.561890000
  2.569200000   2.569200000
  2.576520000   2.576520000
  2.583830000   2.583830000
  2.591140000   2.591140000
  2.598460000   2.598460000
  2.605770000   2.605770000
  2.613080000   2.613080000
  2.620400000   2.620400000
  2.627710000   2.627710000
  2.635030000   2.635030000
  2.642340000   2.642340000
  2.649650000   2.649650000
